identifier,title
UIS.AFR.TRNTP.1.PU.F,Africa Dataset: Newly recruited teachers. % trained. Primary. Public. Female
UIS.AFR.TRNTP.1.PU.M,Africa Dataset: Newly recruited teachers. % trained. Primary. Public. Male
UIS.AFR.TRNTP.1.PU.T,Africa Dataset: Newly recruited teachers. % trained. Primary. Public. Total
UIS.AFR.TRNTP.3.PU.F,Africa Dataset: Newly recruited teachers. % trained. Upper secondary. Public. Female
UIS.AFR.TRNTP.3.PU.M,Africa Dataset: Newly recruited teachers. % trained. Upper secondary. Public. Male
UIS.AFR.TRNTP.3.PU.T,Africa Dataset: Newly recruited teachers. % trained. Upper secondary. Public. Total
UIS.AFR.AGRADMG.1.PU,Africa Dataset: Number of grades. Multigrade class. Primary. Public
UIS.AFR.ECP.MG.1.PU,Africa Dataset: Percentage of enrolment in multigrade classes. Primary. Public
UIS.AFR.NTP.2.PU.F,Africa Dataset: Percentage of newly recruited teachers. Lower secondary. Public. Female
UIS.AFR.NTP.1.PU.F,Africa Dataset: Percentage of newly recruited teachers. Primary. Public. Female
UIS.AFR.NTP.1.PU.M,Africa Dataset: Percentage of newly recruited teachers. Primary. Public. Male
UIS.AFR.NTP.1.PU.T,Africa Dataset: Percentage of newly recruited teachers. Primary. Public. Total
UIS.AFR.SCHBSP.1.PU.WELEC,Africa Dataset: Percentage of schools with electricity. Primary. Public
UIS.AFR.SCHBSP.1.PU.MIXTOIL,Africa Dataset: Percentage of schools with mixed-sex toilets. Primary. Public
UIS.AFR.SCHBSP.1.PU.WPOWAT,Africa Dataset: Percentage of schools with potable water. Primary. Public
UIS.AFR.SCHBSP.1.PU.WSTOIL,Africa Dataset: Percentage of schools with single-sex toilets. Primary. Public
UIS.AFR.SCHBSP.1.PU.WTOIL,Africa Dataset: Percentage of schools with toilets. Primary. Public
UIS.AFR.SCHBSP.1.PU.WOELEC,Africa Dataset: Percentage of schools without electricity. Primary. Public
UIS.AFR.SCHBSP.1.PU.WOPOWAT,Africa Dataset: Percentage of schools without potable water. Primary. Public
UIS.AFR.SCHBSP.1.PU.WOTOIL,Africa Dataset: Percentage of schools without toilets. Primary. Public
UIS.AFR.PBR.1.PU.MATH,Africa Dataset: Pupil/textbook ratio. Mathematics. Primary. All Grades. Public
UIS.AFR.PBR.1.G1.PU.MATH,Africa Dataset: Pupil/textbook ratio. Mathematics. Primary. Grade 1. Public
UIS.AFR.PBR.1.G2.PU.MATH,Africa Dataset: Pupil/textbook ratio. Mathematics. Primary. Grade 2. Public
UIS.AFR.PBR.1.G3.PU.MATH,Africa Dataset: Pupil/textbook ratio. Mathematics. Primary. Grade 3. Public
UIS.AFR.PBR.1.G4.PU.MATH,Africa Dataset: Pupil/textbook ratio. Mathematics. Primary. Grade 4. Public
UIS.AFR.PBR.1.G5.PU.MATH,Africa Dataset: Pupil/textbook ratio. Mathematics. Primary. Grade 5. Public
UIS.AFR.PBR.1.G6.PU.MATH,Africa Dataset: Pupil/textbook ratio. Mathematics. Primary. Grade 6. Public
UIS.AFR.PBR.1.PU.READ,Africa Dataset: Pupil/textbook ratio. Reading. Primary. All Grades. Public
UIS.AFR.PBR.1.G1.PU.READ,Africa Dataset: Pupil/textbook ratio. Reading. Primary. Grade 1. Public
UIS.AFR.PBR.1.G2.PU.READ,Africa Dataset: Pupil/textbook ratio. Reading. Primary. Grade 2. Public
UIS.AFR.PBR.1.G3.PU.READ,Africa Dataset: Pupil/textbook ratio. Reading. Primary. Grade 3. Public
UIS.AFR.PBR.1.G4.PU.READ,Africa Dataset: Pupil/textbook ratio. Reading. Primary. Grade 4. Public
UIS.AFR.PBR.1.G5.PU.READ,Africa Dataset: Pupil/textbook ratio. Reading. Primary. Grade 5. Public
UIS.AFR.PBR.1.G6.PU.READ,Africa Dataset: Pupil/textbook ratio. Reading. Primary. Grade 6. Public
UIS.AFR.GTCTR.2.F,Africa Dataset: Ratio of teacher training graduates to teachers in service. Lower secondary. Public and private. Female
UIS.AFR.GTCTR.1.F,Africa Dataset: Ratio of teacher training graduates to teachers in service. Primary. Public and private. Female
UIS.AFR.GTCTR.1.M,Africa Dataset: Ratio of teacher training graduates to teachers in service. Primary. Public and private. Male
UIS.AFR.GTCTR.1.T,Africa Dataset: Ratio of teacher training graduates to teachers in service. Primary. Public and private. Total
UIS.AFR.SCHCENRESPR.1.PU,Africa Dataset: Schools census return rate. Primary. Public
UIS.AFR.SCHCENRESPR.23.PU,Africa Dataset: Schools census return rate. Secondary. Public
UIS.AFR.TATTRR.1.PU.F,Africa Dataset: Teacher attrition rate. Primary. Public. Female
UIS.AFR.TATTRR.1.PU.M,Africa Dataset: Teacher attrition rate. Primary. Public. Male
UIS.AFR.TATTRR.1.PU.T,Africa Dataset: Teacher attrition rate. Primary. Public. Total
SP.POP.AG00.FE.IN,"Age population, age 0, female, interpolated"
SP.POP.AG00.MA.IN,"Age population, age 0, male, interpolated"
SP.POP.AG01.FE.IN,"Age population, age 01, female, interpolated"
SP.POP.AG01.MA.IN,"Age population, age 01, male, interpolated"
SP.POP.AG02.FE.IN,"Age population, age 02, female, interpolated"
SP.POP.AG02.MA.IN,"Age population, age 02, male, interpolated"
SP.POP.AG03.FE.IN,"Age population, age 03, female, interpolated"
SP.POP.AG03.MA.IN,"Age population, age 03, male, interpolated"
SP.POP.AG04.FE.IN,"Age population, age 04, female, interpolated"
SP.POP.AG04.MA.IN,"Age population, age 04, male, interpolated"
SP.POP.AG05.FE.IN,"Age population, age 05, female, interpolated"
SP.POP.AG05.MA.IN,"Age population, age 05, male, interpolated"
KIBEVERAGES,"Agr: Beverages, 2000=100, constant 2000$"
IBEVERAGES,"Agr: Beverages, 2000=100, current$"
KIFOOD,"Agr: Food, 2000=100, constant 2000$"
IFOOD,"Agr: Food, 2000=100, current$"
KIFATS_OILS,"Agr: Food: Fats and oils, 2000=100, constant 2000$"
IFATS_OILS,"Agr: Food: Fats and oils, 2000=100, current$"
KIGRAINS,"Agr: Food: Grains, 2000=100, constant 2000$"
IGRAINS,"Agr: Food: Grains, 2000=100, current$"
KIOTHERFOOD,"Agr: Food: Other food, 2000=100, constant 2000$"
IOTHERFOOD,"Agr: Food: Other food, 2000=100, current$"
KIRAW_MATERIAL,"Agr: Raw materials, 2000=100, constant 2000$"
IRAW_MATERIAL,"Agr: Raw materials, 2000=100, current$"
KITIMBER,"Agr: Raw:1 Timber, 2000=100, constant 2000$"
ITIMBER,"Agr: Raw:1 Timber, 2000=100, current$"
IOTHERRAWMAT,"Agr: Raw:2 Oth raw materials, 2000=100, current$"
KIOTHERRAWMAT,"Agr: Raw:2 Other raw materials, 2000=100, constant 2000$"
3.01.04.01.agcen,Agricultural census
KIAGRICULTURE,"Agriculture, 2000=100, constant 2000$"
IAGRICULTURE,"Agriculture, 2000=100, current$"
KALUMINUM,"Aluminum, $/mt, constant 2000$"
ALUMINUM,"Aluminum, $/mt, current$"
NYGDPMKTPKDZ,Annual percentage growth rate of GDP at market prices based on constant 2010 US Dollars.
MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values)
MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values)
IC.CUS.DURS.EX,Average time to clear exports through customs (days)
2.04.01.01.excncpt,Balance of payments manual in use
KBANANA_EU,"Bananas, EU, $/mt, constant 2000$"
BANANA_EU,"Bananas, EU, $/mt, current$"
KBANANA_US,"Bananas, US, $/mt, constant 2000$"
BANANA_US,"Bananas, US, $/mt, current$"
FB.BNK.CAPA.ZS,Bank capital to assets ratio (%)
FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%)
KBARLEY,"Barley, $/mt, constant 2000$"
BARLEY,"Barley, $/mt, current$"
EN.BIR.THRD.NO,"Bird species, threatened"
IQ.WEF.CUST.XQ,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)"
IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
CPTOTSAXMZGY,"CPI Price, % y-o-y, median weighted, seas. adj."
CPTOTSAXNZGY,"CPI Price, % y-o-y, nominal, seas. adj."
CPTOTSAXN,"CPI Price, nominal, seas. adj."
5.51.01.02.malnut,Child malnutrition
5.51.01.03.mortal,Child mortality
SE.PRM.UNER,"Children out of school, primary"
SE.PRM.UNER.FE,"Children out of school, primary, female"
SE.PRM.UNER.MA,"Children out of school, primary, male"
KCOAL_AUS,"Coal, Australia, $/mt, constant 2000$"
COAL_AUS,"Coal, Australia, $/mt, current$"
KCOCOA,"Cocoa, cents/kg, constant 2000$"
COCOA,"Cocoa, cents/kg, current$"
KCOCONUT_OIL,"Coconut oil, $/mt, constant 2000$"
COCONUT_OIL,"Coconut oil, $/mt, current$"
KCOFFEE_ARABIC,"Coffee, Arabica, cents/kg, constant 2000$"
COFFEE_ARABIC,"Coffee, Arabica, cents/kg, current$"
KCOFFEE_ROBUS,"Coffee, Robusta, cents/kg, constant 2000$"
COFFEE_ROBUS,"Coffee, Robusta, cents/kg, current$"
FP.CPI.TOTL,Consumer price index (2005 = 100)
2.01.03.01.prcpbase,Consumer price index base year
SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of females employed)"
SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of males employed)"
SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employed)"
KCOPPER,"Copper, $/mt, constant 2000$"
COPPER,"Copper, $/mt, current$"
KCOPRA,"Copra, $/mt, constant 2000$"
COPRA,"Copra, $/mt, current$"
IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita)
IC.EXP.COST.CD,Cost to export (US$ per container)
IC.IMP.COST.CD,Cost to import (US$ per container)
KCOTTON_A_INDX,"Cotton, A Index, cents/kg, constant 2000$"
COTTON_A_INDX,"Cotton, A Index, cents/kg, current$"
IC.CRD.INFO.XQ,Credit depth of information index (0=low to 6=high)
KCRUDE_BRENT,"Crude oil, Brendt, $/bbl, constant 2000$"
CRUDE_BRENT,"Crude oil, Brendt, $/bbl, current$"
KCRUDE_DUBAI,"Crude oil, Dubai, $/bbl, constant 2000$"
CRUDE_DUBAI,"Crude oil, Dubai, $/bbl, current$"
KCRUDE_WTI,"Crude oil, WTI, $/bbl, constant 2000$"
CRUDE_WTI,"Crude oil, WTI, $/bbl, current$"
KCRUDE_PETRO,"Crude oil, avg, spot, $/bbl, constant 2000$"
CRUDE_PETRO,"Crude oil, avg, spot, $/bbl, current$"
BNCABFUNDCD_,"Current Account Balance, %GDP"
7.13_CURR.ALLOCATION.DISB,Current allocation - Annual disbursements (USD million)
7.9_CURR.ALLOCATION.CLOSURE,Current allocation - Closing date (year=full date in notes)
7.7.2_CURR.ALLOCATION.PERIOD.END,Current allocation - Ending year of Implementation period (year=full period in notes)
7.8_CURR.ALLOCATION.SIGNATURE,Current allocation - Signature date (year=full date in notes)
7.7.1_CURR.ALLOCATION.PERIOD.START,Current allocation - Starting year of implementation period (year=full period in notes)
UIS.XGNP.FSGOV.FNCUR.FFD,Current expenditure on education as % of GNI
KDAP,"DAP, $/mt, constant 2000$"
DAP,"DAP, $/mt, current$"
6.5_NEXT.JSR,Date of next Joint Education Sector Review (year=full date in notes)
IC.ELC.DURS,Delay in obtaining an electrical connection (days)
SN.ITK.DFCT,Depth of the food deficit (kilocalories per person per day)
SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79)
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)"
UIS.TEP.5.A,Distribution of students (%). ISCED Level 5A
UIS.TEP.5.B,Distribution of students (%). ISCED Level 5B
UIS.TEP.6,Distribution of students (%). ISCED Level 6
IC.EXP.DOCS,Documents to export (number)
IC.IMP.DOCS,Documents to import (number)
SE.SEC.DURS.LO,Duration of 2A lower secondary
SE.COM.DURS,"Duration of education, compulsory"
SE.SEC.DURS.UP,"Duration of education, upper secondary"
IC.BUS.EASE.XQ,Ease of doing business index (1=most business-friendly regulations)
UIS.XPUBP.2,Educational expenditure in lower secondary as % of total educational expenditure
UIS.XPUBP.4,Educational expenditure in post secondary as % of total educational expenditure
UIS.XPUBP.0,Educational expenditure in pre-primary as % of total educational expenditure
UIS.XPUBP.3,Educational expenditure in upper secondary as % of total educational expenditure
UIS.XPUBP.UK,Educational expenditure not allocated by level as % of total educational expenditure
UIS.XSPENDP.1234.FDPUB.FNCAP,"Educational expenditure on capital as a % of total educational expenditure on public institutions. ISCED 1,2,3,4."
UIS.XSPENDP.56.FDPUB.FNCAP,Educational expenditure on capital as a % of total educational expenditure on public institutions. Tertiary.
UIS.XSPENDP.1234.FDPUB.FNNONS,"Educational expenditure on other current expenditures as a % of total educational expenditure on public institutions. ISCED 1,2,3,4."
UIS.XSPENDP.56.FDPUB.FNNONS,Educational expenditure on other current expenditures as a % of total educational expenditure on public institutions. Tertiary.
UIS.XSPENDP.56.FDPUB.FNS,Educational expenditure on salaries as a % of total educational expenditure on public institutions. Tertiary.
UIS.XSPENDP.1234.FDPUB.FNCUR,"Educational expenditure on total current expenditures as a % of total educational expenditure on public institutions. ISCED 1,2,3,4."
UIS.XSPENDP.56.FDPUB.FNCUR,Educational expenditure on total current expenditures as a % of total educational expenditure on public institutions. Tertiary.
UIS.LR.AG65.F,Elderly (65+) literacy rate (%). Female
UIS.LR.AG65.M,Elderly (65+) literacy rate (%). Male
UIS.LR.AG65,Elderly (65+) literacy rate (%). Total
UIS.LPP.AG65,Elderly illiterate population. % female
UIS.LP.AG65.F,Elderly illiterate population. Female
UIS.LP.AG65.M,Elderly illiterate population. Male
UIS.LP.AG65,Elderly illiterate population. Total
SL.AGR.EMPL.FE.ZS,"Employees, agriculture, female (% of female employment)"
SL.AGR.EMPL.MA.ZS,"Employees, agriculture, male (% of male employment)"
SL.IND.EMPL.FE.ZS,"Employees, industry, female (% of female employment)"
SL.IND.EMPL.MA.ZS,"Employees, industry, male (% of male employment)"
SL.SRV.EMPL.FE.ZS,"Employees, services, female (% of female employment)"
SL.SRV.EMPL.MA.ZS,"Employees, services, male (% of male employment)"
SL.EMP.MPYR.FE.ZS,"Employers, female (% of employment)"
SL.EMP.MPYR.MA.ZS,"Employers, male (% of employment)"
SL.EMP.MPYR.ZS,"Employers, total (% of employment)"
SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment)
SL.IND.EMPL.ZS,Employment in industry (% of total employment)
SL.SRV.EMPL.ZS,Employment in services (% of total employment)
UIS.CEAGEE.1,Ending age of compulsory education
UIS.AY.EM,Ending month of the academic year (Questionnaire A)
7.1.2_ESP.PERIOD.END,Ending year of current Education Sector Plan period (year=full period in notes)
UIS.AY.EY,Ending year of the academic year (Questionnaire A)
KIENERGY,"Energy, 2000=100, constant 2000$"
IENERGY,"Energy, 2000=100, current$"
UIS.E.5.A.F,Enrolment in 5A tertiary. Public and private. Full and part time. Female
UIS.E.5.A,Enrolment in 5A tertiary. Public and private. Full and part time. Total
UIS.E.5.B.F,Enrolment in 5B tertiary. Public and private. Full and part time. Female
UIS.E.5.B,Enrolment in 5B tertiary. Public and private. Full and part time. Total
UIS.E.6.F,Enrolment in 6 tertiary. Public and private. Full and part time. Female
UIS.E.6,Enrolment in 6 tertiary. Public and private. Full and part time. Total
UIS.E.56.F600.F,Enrolment in agriculture. Tertiary. Female
UIS.E.56.F600,Enrolment in agriculture. Tertiary. Total
UIS.E.56.F140.F,Enrolment in education. Tertiary. Female
UIS.E.56.F140,Enrolment in education. Tertiary. Total
UIS.E.56.F500.F,"Enrolment in engineering, manufacturing and construction. Tertiary. Female"
UIS.E.56.F500,"Enrolment in engineering, manufacturing and construction. Tertiary. Total"
UIS.E.56.F700.F,Enrolment in health and welfare. Tertiary. Female
UIS.E.56.F700,Enrolment in health and welfare. Tertiary. Total
UIS.E.56.F200.F,Enrolment in humanities and arts. Tertiary. Female
UIS.E.56.F200,Enrolment in humanities and arts. Tertiary. Total
UIS.E.2.F,Enrolment in lower secondary. Public and private. All programmes. Female
UIS.E.2,Enrolment in lower secondary. Public and private. All programmes. Total
UIS.E.2.GPV.F,Enrolment in lower secondary. Public and private. General programmes. Female
UIS.E.2.GPV,Enrolment in lower secondary. Public and private. General programmes. Total
UIS.E.2.PU.F,Enrolment in lower secondary. Public. All programmes. Female
UIS.E.2.PU,Enrolment in lower secondary. Public. All programmes. Total
UIS.E.2.GPV.PU.F,Enrolment in lower secondary. Public. General programmes. Female
UIS.E.2.GPV.PU,Enrolment in lower secondary. Public. General programmes. Total
UIS.E.0.PR,Enrolment in pre-primary. Private
SE.PRE.ENRL.FE,Enrolment in pre-primary. Public and private. All programmes. Female
SE.PRE.ENRL,Enrolment in pre-primary. Public and private. All programmes. Total
UIS.E.1.G1.F,Enrolment in primary. Grade 1. Female
UIS.E.1.G1,Enrolment in primary. Grade 1. Total
UIS.E.1.G2.F,Enrolment in primary. Grade 2. Female
UIS.E.1.G2,Enrolment in primary. Grade 2. Total
UIS.E.1.G3.F,Enrolment in primary. Grade 3. Female
UIS.E.1.G3,Enrolment in primary. Grade 3. Total
UIS.E.1.G4.F,Enrolment in primary. Grade 4. Female
UIS.E.1.G4,Enrolment in primary. Grade 4. Total
UIS.E.1.G5.F,Enrolment in primary. Grade 5. Female
UIS.E.1.G5,Enrolment in primary. Grade 5. Total
UIS.E.1.G6.F,Enrolment in primary. Grade 6. Female
UIS.E.1.G6,Enrolment in primary. Grade 6. Total
UIS.E.1.PR,Enrolment in primary. Private
UIS.E.56.F400.F,Enrolment in science. Tertiary. Female
UIS.E.56.F400,Enrolment in science. Tertiary. Total
UIS.E.23.GPV.G1.F,Enrolment in secondary. Grade 1. Female
UIS.E.23.GPV.G1,Enrolment in secondary. Grade 1. Total
UIS.E.23.GPV.G2.F,Enrolment in secondary. Grade 2. Female
UIS.E.23.GPV.G2,Enrolment in secondary. Grade 2. Total
UIS.E.23.GPV.G3.F,Enrolment in secondary. Grade 3. Female
UIS.E.23.GPV.G3,Enrolment in secondary. Grade 3. Total
UIS.E.23.GPV.G4.F,Enrolment in secondary. Grade 4. Female
UIS.E.23.GPV.G4,Enrolment in secondary. Grade 4. Total
UIS.E.23.GPV.G5.F,Enrolment in secondary. Grade 5. Female
UIS.E.23.GPV.G5,Enrolment in secondary. Grade 5. Total
UIS.E.23.GPV.G6.F,Enrolment in secondary. Grade 6. Female
UIS.E.23.GPV.G6,Enrolment in secondary. Grade 6. Total
UIS.E.23.GPV.G7.F,Enrolment in secondary. Grade 7. Female
UIS.E.23.GPV.G7,Enrolment in secondary. Grade 7. Total
UIS.E.23.GPV.G8.F,Enrolment in secondary. Grade 8. Female
UIS.E.23.GPV.G8,Enrolment in secondary. Grade 8. Total
UIS.E.56.F800.F,Enrolment in services. Tertiary. Female
UIS.E.56.F800,Enrolment in services. Tertiary. Total
UIS.E.56.F300.F,"Enrolment in social sciences, business and law. Tertiary. Female"
UIS.E.56.F300,"Enrolment in social sciences, business and law. Tertiary. Total"
UIS.E.23.PR,Enrolment in total secondary. Private
UIS.E.23.PU.F,Enrolment in total secondary. Public. All programmes. Female
UIS.E.23.PU,Enrolment in total secondary. Public. All programmes. Total
UIS.E.23.GPV.PU.F,Enrolment in total secondary. Public. General programmes. Female
UIS.E.23.GPV.PU,Enrolment in total secondary. Public. General programmes. Total
UIS.E.23.V.PU.F,Enrolment in total secondary. Public. Technical/vocational programmes. Female
UIS.E.23.V.PU,Enrolment in total secondary. Public. Technical/vocational programmes. Total
UIS.E.3.F,Enrolment in upper secondary. Public and private. All programmes. Female
UIS.E.3,Enrolment in upper secondary. Public and private. All programmes. Total
UIS.E.3.GPV.F,Enrolment in upper secondary. Public and private. General programmes. Female
UIS.E.3.GPV,Enrolment in upper secondary. Public and private. General programmes. Total
UIS.E.3.V.F,Enrolment in upper secondary. Public and private. Technical/vocational programmes. Female
UIS.E.3.V,Enrolment in upper secondary. Public and private. Technical/vocational programmes. Total
UIS.E.3.PU.F,Enrolment in upper secondary. Public. All programmes. Female
UIS.E.3.PU,Enrolment in upper secondary. Public. All programmes. Total
UIS.E.3.GPV.PU.F,Enrolment in upper secondary. Public. General programmes. Female
UIS.E.3.GPV.PU,Enrolment in upper secondary. Public. General programmes. Total
UIS.E.3.V.PU.F,Enrolment in upper secondary. Public. Technical/vocational programmes. Female
UIS.E.3.V.PU,Enrolment in upper secondary. Public. Technical/vocational programmes. Total
DPANUSSPB,"Exchange rate, new LCU per USD extended backward, period average"
DPANUSSPF,"Exchange rate, old LCU per USD extended forward, period average"
SE.PRM.EPCR.ZS,Expected primary completion rate (% of population at theoretical entrance age)
SE.PRM.EPCR.FE.ZS,"Expected primary completion rate, female (% of population at theoretical entrance age)"
SE.PRM.EPCR.MA.ZS,"Expected primary completion rate, male (% of population at theoretical entrance age)"
SE.XPD.SECO.PC.ZS,"Expenditure per student, secondary (% of GDP per capita)"
SE.XPD.TERT.PC.ZS,"Expenditure per student, tertiary (% of GDP per capita)"
DXGSRMRCHSAXD,"Exports Merchandise, Customs, Price, US$, seas. adj."
DXGSRMRCHSAKD,"Exports Merchandise, Customs, constant US$, millions, seas. adj."
DXGSRMRCHSACD,"Exports Merchandise, Customs, current US$, millions, seas. adj."
5.04.01.01.exdebt,External debt reporting status
SE.TER.GRAD.FE.AG.ZS,"Female share of graduates in agriculture (%, tertiary)"
SE.TER.GRAD.FE.ED.ZS,"Female share of graduates in education (%, tertiary)"
SE.TER.GRAD.FE.EN.ZS,"Female share of graduates in engineering, manufacturing and construction (%, tertiary)"
SE.TER.GRAD.FE.HL.ZS,"Female share of graduates in health (%, tertiary)"
SE.TER.GRAD.FE.HU.ZS,"Female share of graduates in humanities and arts (%, tertiary)"
SE.TER.GRAD.FE.SC.ZS,"Female share of graduates in science (%, tertiary)"
SE.TER.GRAD.FE.SV.ZS,"Female share of graduates in services (%, tertiary)"
SE.TER.GRAD.FE.SS.ZS,"Female share of graduates in social science, business and law (%, tertiary)"
KIFERTILIZERS,"Fertilizers, 2000=100, constant 2000$"
IFERTILIZERS,"Fertilizers, 2000=100, current$"
IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms)
IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms)
IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms)
IC.FRM.TRNG.ZS,Firms offering formal training (% of firms)
IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms)
IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms)
IC.FRM.FEMM.ZS,Firms with female top manager (% of firms)
EN.FSH.THRD.NO,"Fish species, threatened"
KFISH_MEAL,"Fishmeal, $/mt, constant 2000$"
FISH_MEAL,"Fishmeal, $/mt, current$"
5.51.01.07.gender,Gender equality
UIS.TRTP.2.GPI,Gender parity index for % of trained teachers. Lower secondary
UIS.TRTP.0.GPI,Gender parity index for % of trained teachers. Pre-primary
UIS.TRTP.1.GPI,Gender parity index for % of trained teachers. Primary
UIS.TRTP.23.GPI,Gender parity index for % of trained teachers. Secondary
UIS.TRTP.3.GPI,Gender parity index for % of trained teachers. Upper secondary
UIS.REPP.1.GPI,Gender parity index for % repeaters. All grades. Primary
UIS.NERT.1.GPI,Gender parity index for adjusted net enrolment rate. Primary
UIS.NIRA.1.GPI,Gender parity index for adjusted net intake rate. Primary
UIS.LR.AG15T99.GPI,Gender parity index for adult literacy rate
UIS.LR.AG65.GPI,Gender parity index for elderly literacy rate
UIS.AIRE.1.GLAST.GPI,Gender parity index for expected primary completion rate
UIS.GER.2.GPI,Gender parity index for gross enrolment ratio. Lower secondary. All programmes
UIS.GER.0.GPI,Gender parity index for gross enrolment ratio. Pre-primary
UIS.GER.3.GPI,Gender parity index for gross enrolment ratio. Upper secondary. All programmes
UIS.GGR.5.A.GPI,Gender parity index for gross graduation ratio. Tertiary (ISCED 5A) first degree
2.3_GIR.GPI,Gender parity index for gross intake ratio in grade 1
UIS.AIR.1.GPI,Gender parity index for gross intake ratio. Primary
UIS.GGR.1.GPI,Gender parity index for gross primary graduation ratio
UIS.NER.0.GPI,Gender parity index for net enrolment rate. Pre-primary
UIS.NER.1.GPI,Gender parity index for net enrolment rate. Primary
UIS.NER.23.GPI,Gender parity index for net enrolment rate. Secondary
UIS.NIR.1.GPI,Gender parity index for net intake rate. Primary.
UIS.ECDP.1.GPI,Gender parity index for new entrants to primary education with ECCE experience
2.6_PCR.GPI,Gender parity index for primary completion rate
UIS.SLEN.12.GPI,Gender parity index for school life expectancy net of repetition. Primary to lower secondary
UIS.SLE.123.GPI,Gender parity index for school life expectancy. Primary to secondary.
UIS.SLE.56.GPI,Gender parity index for school life expectancy. Tertiary.
SE.TER.ENRL.FE.ZS,"Girls enrollment share (%), tertiary"
SE.TER.GRAD.FE.ZS,"Girls graduates share (%), tertiary"
KGOLD,"Gold, $/toz, constant 2000$"
GOLD,"Gold, $/toz, current$"
3.02.01.02.fscov,Government finance accounting
SE.TER.GRAD.AG.ZS,"Graduates in agriculture (% of total graduates, tertiary)"
SE.TER.GRAD.AG.FE.ZS,"Graduates in agriculture, female (% of total female graduates, tertiary)"
SE.TER.GRAD.ED.ZS,"Graduates in education (% of total graduates, tertiary)"
SE.TER.GRAD.ED.FE.ZS,"Graduates in education, female (% of total female graduates, tertiary)"
SE.TER.GRAD.EN.ZS,"Graduates in engineering, manufacturing and construction (% of total graduates, tertiary)"
SE.TER.GRAD.EN.FE.ZS,"Graduates in engineering, manufacturing and construction, female (% of total female graduates, tertiary)"
SE.TER.GRAD.HL.ZS,"Graduates in health (% of total graduates, tertiary)"
SE.TER.GRAD.HL.FE.ZS,"Graduates in health, female (% of total female graduates, tertiary)"
